timestamp	numstudies	numtrees	time	sha
1398819919	2818	6369	2014-04-29T20Z	593d6fbab385716dc0a12f3fc95133e8b7479b37
1398820317	2818	6369	2014-04-29T20Z	9a7b8d82f39fbf55463ec91bdb275b086eea7a9e
1399038593	2818	6369	2014-05-02T08Z	7f9c262c86873e0138714d474266888654235835
1399056412	2819	6369	2014-05-02T13Z	edc7289e0a1525984aa13adb79f3911cfa4977e7
1399056548	2819	6369	2014-05-02T13Z	15089a74ce9c2790ca8461b988270b5592b7d74f
1399062870	2819	6369	2014-05-02T15Z	9e22971bd208b6003ebeacf43e7f6f3a6f2405b2
1399076959	2819	6369	2014-05-02T19Z	e163e8cdf4afe7bedc2db51cc44a65908b1751c9
1399079169	2820	6369	2014-05-02T20Z	2498f1fdfb42e665d08f806213251edd6e302ef2
1399079334	2821	6369	2014-05-02T20Z	d27900bcf279c8d734948c76e8c231daab534f74
1399079389	2822	6369	2014-05-02T20Z	f1f96f29e7caf4616865e1b25e4715016de52988
1399079610	2823	6369	2014-05-02T20Z	7b00381637d9532f1ab05eec7502a8f2e215e7fb
1399167252	2824	6369	2014-05-03T20Z	ccefe4b0696cf1d8a560e17c535d4e3a62d10278
1399172786	2825	6369	2014-05-03T22Z	0e565b0fac5ef984e911d6d7f10e79f9542c8cfa
1401376906	2825	6369	2014-05-29T10Z	f8d8d3f2153aedb15c722f1ca5acc843cad859af
1401376910	2825	6369	2014-05-29T10Z	498d2310f6e757b18a3173fd66f608e4c5a6cab8
1401376910	2825	6369	2014-05-29T10Z	5bee55c05e64dfdb4e08cbe2de40276eb83bf8d2
1401376914	2825	6369	2014-05-29T10Z	457747ad0d1c8dc4628a1e617e5a49be83327c17
1401376915	2825	6369	2014-05-29T10Z	b81b5b840a6087ff3ba0354b0d1e05bda59f264d
1401376918	2825	6369	2014-05-29T10Z	545cb15ba7c7a23c7a5fcc23c66b3bba97d68686
1401376919	2825	6369	2014-05-29T10Z	fe593e332138fbc529f3a17a9015cfff970ac0fd
1401376923	2825	6369	2014-05-29T10Z	764edda18fdf9e7ed934c1d7b817cd8fcd46812d
1401376924	2825	6369	2014-05-29T10Z	8119ed81c621e4de68806a12075243b960a6449d
1401376927	2825	6369	2014-05-29T10Z	d34d827711a82dfa1a6b6424ec31673455c74534
1401376928	2825	6369	2014-05-29T10Z	f6342b62ac8c47b9ef8781de389e0afb9328377e
1401376932	2825	6369	2014-05-29T10Z	8d4478146ff74324ce2f2c0f69528365093df255
1401376933	2825	6369	2014-05-29T10Z	59330f57129d646ffe8a9a3ef46878b0b38a76d3
1401376936	2825	6369	2014-05-29T10Z	5167d19aa430b6a095e2c43c39d77fe1b9dc8639
1401376937	2825	6369	2014-05-29T10Z	234b4a15b27148a3006f9905f73e343af9b66a84
1401376941	2825	6369	2014-05-29T10Z	010a59b1a29145170ba2c9c1d493aae9a21480e5
